"%1 has been successfully saved.","%1 has been successfully saved."
"""Confirm Shipping"" alert text","""Confirm Shipping"" alert text"
"/ %1 available","/ %1 available"
"%1 available","%1 available"
"%store_name RMA #%request_text_id","%store_name RMA #%request_text_id"
"Add another file","Add another file"
"Add Custom Field","Add Custom Field"
"Add file","Add file"
"Add Option","Add Option"
"Additional Information","Additional Information"
"Address Line 1","Address Line 1"
"Address Line 2","Address Line 2"
"Admin Can Edit On","Admin Can Edit On"
"Allow Customer to Attach Files","Allow Customer to Attach Files"
"Allow File Extensions","Allow File Extensions"
"Allow guests to request RMA","Allow guests to request RMA"
"Allow to request RMA after order completion, days. Empty or 0 - no limitations","Allow to request RMA after order completion, days. Empty or 0 - no limitations"
"Apply","Apply"
"Approve","Approve"
"Approve New Requests Automatically","Approve New Requests Automatically"
"Approved","Approved"
"Are you sure you want to cancel this request?","Are you sure you want to cancel this request?"
"Automessage","Automessage"
"Back","Back"
"Can't create return for this order","Can't create return for this order"
"Cancel","Cancel"
"Cancel Request","Cancel Request"
"Canceled","Canceled"
"Change %1","Change %1"
"City","City"
"Click or tap ""Print label"" to print an RMA label.","Click or tap ""Print label"" to print an RMA label."
"Close","Close"
"Closed","Closed"
"Comment from %1:","Comment from %1:"
"Comment from customer:","Comment from customer:"
"Comment successfully added.","Comment successfully added."
"Company","Company"
"Confirm Package Receiving","Confirm Package Receiving"
"Confirm Shipping","Confirm Shipping"
"Confirm Shipping and Update Request","Confirm Shipping and Update Request"
"Contact Information","Contact Information"
"Contact information has been successfully saved.","Contact information has been successfully saved."
"Contacts","Contacts"
"Could not create request.","Could not create request."
"Could not post new message.","Could not post new message."
"Couldn't load order by given Order Number.","Couldn't load order by given Order Number."
"Count","Count"
"Country","Country"
"Create New Return","Create New Return"
"Created At","Created At"
"Custom field was successfully saved.","Custom field was successfully saved."
"Custom Fields","Custom Fields"
"Custom Text","Custom Text"
"Custom Text (HTML is supported)","Custom Text (HTML is supported)"
"Customer","Customer"
"Customer %customer_name has added a new comment to RMA <a href=""%admin_url"">%request_text_id</a>","Customer %customer_name has added a new comment to RMA <a href=""%admin_url"">%request_text_id</a>"
"Customer Can Edit On","Customer Can Edit On"
"Customer Can View On","Customer Can View On"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer Information","Customer Information"
"Customer isn't owner of the given order.","Customer isn't owner of the given order."
"Customer Name","Customer Name"
"Customer Since","Customer Since"
"Customer: %customer_name <a href=""mailto:%customer_email"">%customer_email</a>","Customer: %customer_name <a href=""mailto:%customer_email"">%customer_email</a>"
"Damaged","Damaged"
"Date","Date"
"Date: %date","Date: %date"
"Dear %customer_name,","Dear %customer_name,"
"Dear customer,","Dear customer,"
"Delete","Delete"
"Deselect All","Deselect All"
"Details","Details"
"Did you placed order as registered customer? Sign in with your email address to proceed.","Did you placed order as registered customer? Sign in with your email address to proceed."
"Display on Shipping Label","Display on Shipping Label"
"Display on Websites","Display on Websites"
"Don't display","Don't display"
"edit","edit"
"Edit ""%1"" custom field","Edit ""%1"" custom field"
"Edit ""%1"" status","Edit ""%1"" status"
"Email","Email"
"Email isn't specified.","Email isn't specified."
"Email Notifications","Email Notifications"
"Email to Admin","Email to Admin"
"Email to Customer","Email to Customer"
"Entered quantity is too high","Entered quantity is too high"
"External RMA ID isn't specified","External RMA ID isn't specified"
"Fax","Fax"
"Field Type","Field Type"
"File Attachments","File Attachments"
"File not found.","File not found."
"First Name","First Name"
"Forgot Your Password?","Forgot Your Password?"
"Frontend Label is required.","Frontend Label is required."
"Frontend Labels","Frontend Labels"
"General","General"
"General Information","General Information"
"Get Support","Get Support"
"Guest Order","Guest Order"
"Guest RMA page block","Guest RMA page block"
"I accept","I accept"
"ID","ID"
"If you have placed order as guest user, please enter Order Number and Email which has been used for the order.","If you have placed order as guest user, please enter Order Number and Email which has been used for the order."
"Incorrect customer data.","Incorrect customer data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid response data.","Invalid response data."
"Invoiced","Invoiced"
"Is Default","Is Default"
"Issue Refund","Issue Refund"
"Item","Item"
"Item #%1","Item #%1"
"Item ID","Item ID"
"Items","Items"
"Items Details","Items Details"
"Items in Order","Items in Order"
