"Card Identifiers","Card Identifiers"
"Add New Card Identifier","Add New Card Identifier"
"Check Api","Check Api"
"Payment Type","Payment Type"
"Surcharges Type","Surcharges Type"
Add,Add
Deleted,Deleted
Error,Error
"Can't specify card","Can't specify card"
Card,Card
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Subscription Profiles","Subscription Profiles"
"You cancelled the profile.","You cancelled the profile."
Profiles,Profiles
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"View Profile","View Profile"
"This profile no longer exists.","This profile no longer exists."
Transactions,Transactions
"Can't delete this transaction","Can't delete this transaction"
"Warning: %1 SagePay transaction(s) have no order associated","Warning: %1 SagePay transaction(s) have no order associated"
"Cannot find quote","Cannot find quote"
"Restored order %1","Restored order %1"
"Can't restore this transaction","Can't restore this transaction"
"You deleted the card.","You deleted the card."
"Quote is not active","Quote is not active"
"3d secure authenticate fail","3d secure authenticate fail"
"Payment exception","Payment exception"
"Can't specify subscription","Can't specify subscription"
"My Card Identifiers","My Card Identifiers"
"My Subscription Profiles","My Subscription Profiles"
"Payment Request Error","Payment Request Error"
"Invalid request","Invalid request"
"Payment error","Payment error"
"The payment is not complete","The payment is not complete"
"Invalid Form Key","Invalid Form Key"
"Payment Error","Payment Error"
"Redirect Error","Redirect Error"
"The transaction was successfully processed.","The transaction was successfully processed."
"Payment Complete","Payment Complete"
"Refund Error","Refund Error"
"get card identify error","get card identify error"
"Invalid Surchange Value","Invalid Surchange Value"
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Customer is not logged in","Customer is not logged in"
"Card ID exception","Card ID exception"
"Capture exception","Capture exception"
"Refund Exception","Refund Exception"
Exception,Exception
"Invalid Quote","Invalid Quote"
"Invaild payment action","Invaild payment action"
Authenticated,Authenticated
NotChecked,NotChecked
NotAuthenticated,NotAuthenticated
CardNotEnrolled,CardNotEnrolled
IssuerNotEnrolled,IssuerNotEnrolled
MalformedOrInvalid,MalformedOrInvalid
AttemptOnly,AttemptOnly
Incomplete,Incomplete
"Default: Use default MySagePay settings","Default: Use default MySagePay settings"
"Force: Apply authentication even if turned off","Force: Apply authentication even if turned off"
"Disable: Disable authentication and rules","Disable: Disable authentication and rules"
"Force & Ignore: Apply authentication but ignore rules","Force & Ignore: Apply authentication but ignore rules"
"Modal UI","Modal UI"
"Inline UI","Inline UI"
Yes,Yes
No,No
Default,Default
English,English
French,French
German,German
Spanish,Spanish
Portuguese,Portuguese
Dutch,Dutch
"Test Mode","Test Mode"
"Live Mode","Live Mode"
"Authorize and Capture (Payment)","Authorize and Capture (Payment)"
"Authorize Only (Deferred)","Authorize Only (Deferred)"
"Normal Profile Mode","Normal Profile Mode"
"Low Profile Mode","Low Profile Mode"
"VISA Credit","VISA Credit"
"VISA Debit","VISA Debit"
"VISA Electron","VISA Electron"
MasterCard,MasterCard
Maestro,Maestro
"American Express","American Express"
"Diner's Club","Diner's Club"
"JCB Card","JCB Card"
Laser,Laser
"Do not send either customer or vendor Email","Do not send either customer or vendor Email"
"Send customer and vendor transaction Email","Send customer and vendor transaction Email"
"Send Vendor Email but not Customer Email","Send Vendor Email but not Customer Email"
"Item with subscription option can be purchased standalone only","Item with subscription option can be purchased standalone only"
"Cannot save sagepay product","Cannot save sagepay product"
Delete,Delete
"Delete ""${ $.$data.id }""","Delete ""${ $.$data.id }"""
"Are you sure you wan't to delete a ""${ $.$data.id }"" record?","Are you sure you wan't to delete a ""${ $.$data.id }"" record?"
Guest,Guest
ERROR,ERROR
View,View
"Restore order","Restore order"
"Restore this order","Restore this order"
